id,category,title,description
N88753,lifestyle,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By","Shop the notebooks, jackets, and more that the royals can't live without."
N45436,news,Walmart Slashes Prices on Last-Generation iPads,Apple's new iPad releases bring big deals on last year's models.
N23144,health,50 Worst Habits For Belly Fat,These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.
N86255,health,Dispose of unwanted prescription drugs during the DEA's Take Back Day,
N93187,news,The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War,"Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes."
N75236,health,I Was An NBA Wife. Here's How It Affected My Mental Health.,"I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me."
N99744,health,"How to Get Rid of Skin Tags, According to a Dermatologist","They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest."
N124534,sports,Should NFL be able to fine players for criticizing officiating?,Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.
N51947,news,"How to record your screen on Windows, macOS, iOS or Android","The easiest way to record what's happening on your screen, whichever device you're using."
N59220,weather,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way","There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits."
N17957,health,This Guy Altered His Diet and Training to Drop 65 Pounds and Pack on Muscle,"Take Brandon Reid's advice: ""Don't worry what other people think. Even the smallest or fattest guy in the gym is lapping the guy at home on the couch."""
N40259,news,Chile: Three die in supermarket fire amid protests,"Three people have died in a supermarket fire as angry protests in Chile entered their seventh day, the mayor of capital city Santiago said on Sunday."
N42222,entertainment,Best PS5 games: top PlayStation 5 titles to look forward to,Every confirmed or expected PS5 game we can't wait to play
N46520,foodanddrink,This Roasted Squash Panzanella Is the Perfect Way to Start This Year's Christmas Dinner,Introducing the perfect way to balance out your sugar cookie obsession.
N40599,lifestyle,How to talk about your sex life with your partner,"Trouble in paradise? Going through a dry patch? When you're having problems with your sex life, your partner should be the first person you turn to. However, speaking honestly and openly about what's going wrong is easier said than done. So, how do you broach that conversation without it being tense and, frankly, awkward? Here's what you need to know."
N13152,news,"How to report weather-related closings, delays","When there are active closings, view them here. WXII 12 News receives a number of phone calls and e-mails from viewers with questions. Sign up for our Newsletters To report a closure, please visit wxii.reportclosing.com The weather closing system is a viewer-operated system. Employees of WXII-TV and WXII12.com DO NOT enter the information in the system. That comes straight from the school/business/institution. Before you can enter information,..."
N22273,health,"50 Foods You Should Never Eat, According to Health Experts",This is so depressing.
N107267,sports,"As Eagles take their bye, a look at how the defense has improved lately | Early Birds","Good morning, Eagles fans. Is everybody OK? I know it's been a tough couple days for you all, first with the Eagles' rough 22-14 win over the Chicago Bears and then with the news that the team's most potent deep threat, DeSean Jackson, will likely be out for the season after reinjuring himself during the four snaps he played on Sunday. But hey, it's the bye week. So if you want to use this ..."
N30547,autos,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly,The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.
N42639,autos,My Corvette Moment? When I Took the Mighty ZR1 All the Way to 200 MPH,The Big Picture: We take a look at our most memorable Corvette moment so far
N54460,health,25 Biggest Grocery Store Mistakes Making You Gain Weight,"From picking up free goodies to navigating the wrong aisles, these grocery shopping mistakes could be one of the sneaky reasons you're gaining weight."
N117551,sports,"Rye football wins 2019 rendition of The Game, clobbers Harrison","After going into halftime tied, the Garnets regrouped and made a resounding second-half statement in The Game."
N79856,health,Instagram Filters with Plastic Surgery-Inspired Effects Could Soon Disappear,"In an effort to combat some of the negative mental impacts caused by social media, the company announced it is removing all of its filters that give a plastic surgery-like effect."
N72751,health,"Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria","A Michigan produce company has recalled nearly 2,300 cases of fresh apples that could be contaminated with listeria."
N81543,lifestyle,Kate Middleton's Best Hairstyles Through the Years,The Duchess of Cambridge knows her way around an updo.
N5149,entertainment,Stars who got fired from major projects,Take a look back at the celebs who got the boot from major movies and TV shows.
N10616,travel,Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project,"The project, which is the bi-state agency's single-largest investment in the state, is projected to be completed in 2022."
N50737,autos,Is This The 2021 GMC Yukon Denali?,"A Motor1.com reader sent this to us, and it sure looks legit."
N108378,autos,"How Hyundai's New, More Fuel-Efficient Engine Tech Called CVVD Works",Hyundai just figured out continuously variable valve duration
N75778,sports,"John Dorsey admits talks with Washington, but it ""takes two to tango""","Team officials in Washington ""emphatically"" denied a rumor of a Trent Williams trade to Cleveland, according to a report Tuesday. A day later, Browns General Manager John Dorsey admitted publicly he has talked to Washington president Bruce Allen. ""We've had a few conversations,"" Dorsey said, via Mary Kay Cabot of the Cleveland Plain Dealer. ""It [more]"
N21935,news,Elijah Cummings to lie in state at US Capitol Thursday,"Cummings, a Democrat whose district included sections of Baltimore, died last week at age 68 from complications related to longstanding health issues."
N93333,sports,"Michigan finally shows some fight, but can't seal the deal","UNIVERSITY PARK, Pa. -- Fans on their way out of Beaver Stadium on Saturday night likely did not know what was going on mere feet from their celebration. Inside a small room under the bleachers of the stadium sat Khaleke Hudson and Shea Patterson, two players on Michigan's football team, addressing reporters after a 28-21 loss to No. 7 Penn State. Both were still in their uniforms, the sweat ..."
N9663,travel,"17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia","Disney, Six Flags, and even the Flintstones have had amusement parks that succumbed to disasters, bad press, and shifting entertainment markets. But for the adventurous, abandoned theme parks, whether in California, Florida, or Ohio, can be fascinating places to explore  if you dare."
N40432,video,Dog dies protecting Florida children from a deadly snake,"The Richardson family shares home video and photos of their puppy Zeus, who died protecting their children from a venomous coral snake."
N78823,autos,Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia,"It still won't be offered in the Land Down Under, however."
N81055,news,Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight,"DOJ's Makan Delrahim and the FTC's Joe Simons have agreed to divide Google, Facebook, Amazon, and Apple between them."
N35648,sports,PGA Tour winners,A gallery of recent winners on the PGA Tour.
N67829,foodanddrink,Nashville restaurants: Ms. Cheap rounds up lunch deals for $10 or less,"Ms. Cheap rounds up Nashville restaurant lunch deals with good food, good prices  and, in most cases, free parking."
N16695,lifestyle,10 Things You Never Knew About Owls,"With their huge eyes, sharp talons, and swiveling heads, owls are mysterious creatures."
N5219,foodanddrink,25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner,These last-minute ideas will make you excited for the (sometimes-stressful) holiday. The post 25 Last-Minute Ideas That Will Absolutely Save Your Holidays appeared first on Taste of Home.
N9580,finance,The States Where Dogs Put the Biggest Bite on Insurance,
N70495,sports,Rutgers throws for 1 yard in 35-0 loss at Indiana,
N71593,lifestyle,Every outfit Duchess Kate has worn in 2019,"See Kate Middleton's style choices this year from glam gowns and coat dresses to re-wears, tiaras and hats."
N41917,travel,Top Halloween parties this weekend Oct. 24-27,"Now that we are in the last weekend before Halloween, some of the biggest parties are coming up this weekend, including Entourage star Jeremy Piven hosting a big party at the Godfrey Hotel and a Thriller mob breaking out at Ferg's. Here are some of the many events happening this weekend and you can find more and also pumpkin patches at tamapbay.com/things-to-do. PINELLASStadium of Screams and ..."
